DATE,NATURALGASD11
2000-01-01,1809.2
2000-02-01,1827.8
2000-03-01,1723.8
2000-04-01,1840.2
2000-05-01,1970.4
2000-06-01,1880.5
2000-07-01,1737.4
2000-08-01,1850.6
2000-09-01,1858.3
2000-10-01,1872.3
2000-11-01,1967.7
2000-12-01,2138.8
2001-01-01,1925.1
2001-02-01,1881.0
2001-03-01,1894.8
2001-04-01,1871.8
2001-05-01,1833.7
2001-06-01,1794.0
2001-07-01,1821.5
2001-08-01,1869
2001-09-01,1882.2
2001-10-01,1968
2001-11-01,1757.2
2001-12-01,1748.6
2002-01-01,1785.8
2002-02-01,1821.9
2002-03-01,1910.9
2002-04-01,1961.5
2002-05-01,1940.3
2002-06-01,1973.7
2002-07-01,1988.0
2002-08-01,1925.6
2002-09-01,1940.5
2002-10-01,1965.0
2002-11-01,1986.7
2002-12-01,1956.4
2003-01-01,1938.2
2003-02-01,2028.6
2003-03-01,1865.0
2003-04-01,1833.8
2003-05-01,1823.1
2003-06-01,1689.6
2003-07-01,1807.8
2003-08-01,1836.5
2003-09-01,1801.2
2003-10-01,1852.4
2003-11-01,1828.3
2003-12-01,1851.2
2004-01-01,1927.0
2004-02-01,1954.9
2004-03-01,1789.1
2004-04-01,1849
2004-05-01,1895.6
2004-06-01,1822.3
2004-07-01,1778.9
2004-08-01,1741.8
2004-09-01,1868.8
2004-10-01,1855.7
2004-11-01,1870.2
2004-12-01,1896.3
2005-01-01,1850.9
2005-02-01,1820.1
2005-03-01,1886.1
2005-04-01,1836.2
2005-05-01,1836.7
2005-06-01,1872.4
2005-07-01,1885.4
2005-08-01,1866.9
2005-09-01,1796.9
2005-10-01,1696.4
2005-11-01,1746.3
2005-12-01,1884.5
2006-01-01,1567.6
2006-02-01,1744.8
2006-03-01,1825.1
2006-04-01,1793.7
2006-05-01,1850.8
2006-06-01,1886.9
2006-07-01,1965.5
2006-08-01,1923.3
2006-09-01,1841.5
2006-10-01,1948.5
2006-11-01,1852.0
2006-12-01,1713.6
2007-01-01,1788.2
2007-02-01,2092.1
2007-03-01,1839.3
2007-04-01,1936
2007-05-01,1902.6
2007-06-01,1889.5
2007-07-01,1854.3
2007-08-01,2082.5
2007-09-01,2001.4
2007-10-01,1920.4
2007-11-01,1915.4
2007-12-01,1926.6
2008-01-01,1966.0
2008-02-01,1959.7
2008-03-01,1991
2008-04-01,1958.1
2008-05-01,1934.6
2008-06-01,1952.4
2008-07-01,1910.2
2008-08-01,1845.1
2008-09-01,1828.2
2008-10-01,1925.4
2008-11-01,1938.0
2008-12-01,1919.7
2009-01-01,1952.6
2009-02-01,1907.8
2009-03-01,1923.7
2009-04-01,1882.7
2009-05-01,1846.5
2009-06-01,1860.5
2009-07-01,1848.6
2009-08-01,1905.9
2009-09-01,1962.6
2009-10-01,1954.8
2009-11-01,1823.7
2009-12-01,1984.1
2010-01-01,2008.2
2010-02-01,2040.3
2010-03-01,1919.6
2010-04-01,1841.7
2010-05-01,1982.6
2010-06-01,2010.9
2010-07-01,2027.2
2010-08-01,2062.8
2010-09-01,2028.1
2010-10-01,1953.6
2010-11-01,2003.2
2010-12-01,2152.8
2011-01-01,2070.3
2011-02-01,2029.7
2011-03-01,2010.2
2011-04-01,2002.2
2011-05-01,2035.2
2011-06-01,2020.5
2011-07-01,2089.5
2011-08-01,2080.1
2011-09-01,2043.3
2011-10-01,2044.8
2011-11-01,2037.9
2011-12-01,2010.5
2012-01-01,1988.4
2012-02-01,1998.0
2012-03-01,1918.4
2012-04-01,2155.8
2012-05-01,2278.1
2012-06-01,2277.9
2012-07-01,2285.6
2012-08-01,2213.7
2012-09-01,2215.7
2012-10-01,2222.8
2012-11-01,2152.0
2012-12-01,1979.2
2013-01-01,2089.2
2013-02-01,2158.6
2013-03-01,2265.9
2013-04-01,2183.8
2013-05-01,2121.6
2013-06-01,2117.7
2013-07-01,2127.2
2013-08-01,2128.2
2013-09-01,2154.2
2013-10-01,2176.1
2013-11-01,2285.9
2013-12-01,2306.0
2014-01-01,2339.8
2014-02-01,2326.2
2014-03-01,2286.0
2014-04-01,2190.6
2014-05-01,2188.0
2014-06-01,2112.3
2014-07-01,2074.8
2014-08-01,2134.4
2014-09-01,2192.5
2014-10-01,2223.7
2014-11-01,2324.7
2014-12-01,2111.0
2015-01-01,2281.6
2015-02-01,2503.9
2015-03-01,2309.8
2015-04-01,2257.0
2015-05-01,2244.3
2015-06-01,2292.4
2015-07-01,2273.1
2015-08-01,2258.6
2015-09-01,2289.3
2015-10-01,2304.0
2015-11-01,2218.0
2015-12-01,2036.8
2016-01-01,2276.3
2016-02-01,2192.0
2016-03-01,2096.1
2016-04-01,2362.6
2016-05-01,2376.3
2016-06-01,2410.3
2016-07-01,2386.4
2016-08-01,2416.1
2016-09-01,2331.3
2016-10-01,2218.8
2016-11-01,2125.6
2016-12-01,2260.2
2017-01-01,2158.7
2017-02-01,2029.2
2017-03-01,2252.2
2017-04-01,2200.1
2017-05-01,2288.7
2017-06-01,2299.3
2017-07-01,2314.3
2017-08-01,2275.1
2017-09-01,2288.7
2017-10-01,2324.5
2017-11-01,2309.7
2017-12-01,2442.8
2018-01-01,2503.2
2018-02-01,2351.4
2018-03-01,2511.3
2018-04-01,2683.8
2018-05-01,2489.8
2018-06-01,2475.5
2018-07-01,2518.2
2018-08-01,2499.0
2018-09-01,2566.6
2018-10-01,2599.0
2018-11-01,2644.4
2018-12-01,2386.0
2019-01-01,2586.1
2019-02-01,2613.6
2019-03-01,2659.2
2019-04-01,2524.1
2019-05-01,2590.1
2019-06-01,2534.2
2019-07-01,2548.3
2019-08-01,2614.0
2019-09-01,2624.1
2019-10-01,2609.6
2019-11-01,2689.0
2019-12-01,2532.8
2020-01-01,2536.2
2020-02-01,2538.8
2020-03-01,2500.1
2020-04-01,2582.8
2020-05-01,2520.8
2020-06-01,2537.6
2020-07-01,2617.2
2020-08-01,2566.0
2020-09-01,2563.4
2020-10-01,2616.7
2020-11-01,2350.8
2020-12-01,2556.0
2021-01-01,2557.3
2021-02-01,2679.5
2021-03-01,2449.5
2021-04-01,2583.1
2021-05-01,2566.1
2021-06-01,2649.8
2021-07-01,2551.9
2021-08-01,2583.9
2021-09-01,2539.5
2021-10-01,2546.6
2021-11-01,2578.0
2021-12-01,2413.8
2022-01-01,2771.8
2022-02-01,2653.5
2022-03-01,2595.7
2022-04-01,2679.8
2022-05-01,2710.5
2022-06-01,2721.0
2022-07-01,2718.6
2022-08-01,2702.3
2022-09-01,2720.0
2022-10-01,2665.8
2022-11-01,2662.2
2022-12-01,2709.2
2023-01-01,2555.3
2023-02-01,2560.4
2023-03-01,2820.6
2023-04-01,2742.6
2023-05-01,2796.1
2023-06-01,2756.1
2023-07-01,2801.1
2023-08-01,2833.6
